acoustic,dance,energy,inst,loud,speech,valence,tempo,Acid House,Ambient,Baltimore Club,Bass House,Big Beat,Big Room House,Brazilian Bass,Breakbeat Hardcore,Breakcore,Brostep,Bubblegum Bass,Chill-out,Chillstep,Chill Trap,Chillwave,Chiptune,Classic Synth-pop,Complextro,Crossbreed Hardcore,Dark Ambient,Darkstep,Deathstep,Deep House,Disco House,Doomcore,Downtempo,Drill 'n' Bass,Drum & Bass,Drumstep,Dubstep,Dubstyle,Dub Techno,Electro,Electro House,Electronica,Electro Swing,Euphoric Hardstyle,Eurobeat,Eurodance,Extratone,Fidget House,Frenchcore,French House,Funky Breaks,Funky House,Future Bass,Future Bounce,Future Funk,Future Garage,Future House,Ghetto House,Glitch Hop,Happy Hardcore / UK Hardcore,Hard Bass,Hard Bounce,Hardcore,Hard House,Hardpsy,Hardstyle,Hard Trance,Hard Trap,Hardvapour,Hip House,IDM,Industrial Hardcore,Jackin' House,Japanoise,Jersey Club,Jumpstyle,Jungle Terror,Kawaii Bass,Kwaito,Lento Violento,Liquid Drum & Bass,Lo-Fi,Mákina,Melbourne Bounce,Melodic Dubstep,Melodic Trap,Microhouse,Midtempo Bass,Minimal Techno,Moombahcore,Moombahton,Neurofunk,Neurohop,New-age,New Beat,New Wave,Nu Disco,Outsider House,Progressive House (Classic),Progressive House (Mainstream),Progressive Trance,Psytrance,Rawstyle,Reggaestep,Riddim,Speedcore,Speed Garage,Suomisaundi,Synth-pop,Synthwave / Retrowave,Tech House,Techno,Techstep,Tech Trance,Tekstyle,Terrorcore,Trance,Trap,Trip Hop,Tropical House,UK Bass,UK Garage,Uplifting Trance,Uptempo Hardcore,Vaporwave,Vomitstep,Wubstep
0.000278,0.824,0.96,0.716,-7.008,0.071,0.867,125.458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00377,0.748,0.624,0.873,-9.856,0.0565,0.647,128.014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000265,0.599,0.887,0.0546,-8.307,0.0456,0.806,125.009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0279,0.686,0.997,0.834,-5.648,0.076,0.551,123.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000891,0.806,0.772,0.864,-14.369,0.0856,0.43,125.325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000961,0.685,0.738,0.447,-10.636,0.0381,0.582,122.189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000315,0.727,0.564,0.133,-13.821,0.05,0.868,118.141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0218,0.752,0.803,0.267,-7.816,0.0642,0.842,123.059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0846,0.802,0.926,0.961,-10.011,0.134,0.485,124.971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00335,0.707,0.789,0.7,-10.595,0.0426,0.612,123.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
